1.000 1.000 1.000 1.000 0.839 0.855 0.851 0.859 0.859 0.855 0.843 0.749 0.843 0.780 0.773 0.855 0.714 0.820 0.855 0.702 0.722 0.722 0.831 0.843 0.847 0.820 0.831 0.831 0.796 0.694 0.663 0.620 0.627 0.635 0.639 0.647 0.608 0.588 0.608 0.635 0.620 0.651 0.569 0.502 0.478 0.643 0.647 0.592 0.553 0.565 0.608 0.541 0.565 0.584 0.557 0.514 0.278 0.525 0.541 0.522 0.471 0.537 0.451 0.518 0.431 0.494 0.408 0.314 0.435 0.443 0.353 0.424 0.439 0.408 0.424 0.431 0.408 0.557 0.753 0.800 0.784 0.541 0.490 0.725 0.510 0.655 0.686 0.620 0.608 0.647 0.714 0.624 0.616 0.616 0.620 0.627 0.682 0.996 1.000 1.000
1.000 1.000 1.000 1.000 0.839 0.863 0.859 0.847 0.847 0.867 0.835 0.776 0.843 0.580 0.855 0.843 0.710 0.796 0.831 0.671 0.788 0.710 0.804 0.847 0.859 0.820 0.835 0.855 0.843 0.859 0.843 0.804 0.839 0.820 0.655 0.604 0.576 0.631 0.588 0.584 0.553 0.580 0.588 0.565 0.573 0.580 0.596 0.608 0.549 0.514 0.510 0.569 0.569 0.580 0.482 0.490 0.482 0.443 0.486 0.490 0.471 0.478 0.439 0.424 0.467 0.463 0.298 0.353 0.427 0.404 0.439 0.404 0.471 0.376 0.396 0.404 0.345 0.541 0.776 0.824 0.780 0.522 0.447 0.737 0.494 0.663 0.667 0.765 0.573 0.635 0.690 0.624 0.635 0.620 0.643 0.639 0.714 0.996 1.000 1.000
1.000 1.000 1.000 1.000 0.929 0.855 0.859 0.847 0.855 0.843 0.776 0.886 0.780 0.733 0.847 0.863 0.753 0.796 0.831 0.667 0.804 0.792 0.722 0.745 0.855 0.820 0.851 0.835 0.855 0.859 0.839 0.824 0.831 0.859 0.847 0.808 0.800 0.788 0.824 0.745 0.620 0.561 0.541 0.447 0.600 0.612 0.604 0.580 0.510 0.522 0.557 0.569 0.502 0.502 0.471 0.463 0.490 0.420 0.549 0.490 0.482 0.498 0.424 0.455 0.486 0.478 0.400 0.349 0.365 0.482 0.365 0.373 0.412 0.427 0.498 0.451 0.455 0.686 0.796 0.824 0.745 0.541 0.541 0.737 0.525 0.733 0.643 0.808 0.592 0.627 0.639 0.651 0.643 0.627 0.643 0.651 0.780 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 0.855 0.851 0.843 0.863 0.843 0.780 0.859 0.737 0.827 0.824 0.839 0.863 0.769 0.808 0.686 0.776 0.843 0.796 0.729 0.827 0.827 0.831 0.839 0.851 0.859 0.839 0.812 0.847 0.871 0.855 0.792 0.816 0.839 0.820 0.824 0.792 0.784 0.780 0.808 0.835 0.831 0.812 0.784 0.694 0.616 0.490 0.557 0.522 0.537 0.537 0.486 0.506 0.365 0.518 0.506 0.510 0.478 0.451 0.471 0.478 0.525 0.431 0.388 0.361 0.443 0.475 0.443 0.416 0.427 0.376 0.435 0.396 0.792 0.827 0.820 0.682 0.592 0.667 0.784 0.561 0.773 0.667 0.792 0.631 0.604 0.624 0.643 0.647 0.620 0.643 0.678 0.875 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 0.847 0.847 0.847 0.851 0.816 0.875 0.863 0.627 0.863 0.800 0.835 0.867 0.682 0.784 0.663 0.757 0.831 0.824 0.788 0.698 0.835 0.847 0.831 0.851 0.863 0.831 0.808 0.843 0.863 0.863 0.808 0.824 0.800 0.839 0.769 0.800 0.776 0.412 0.839 0.843 0.820 0.816 0.812 0.831 0.800 0.808 0.816 0.808 0.816 0.784 0.804 0.773 0.796 0.741 0.725 0.514 0.482 0.486 0.416 0.522 0.463 0.424 0.314 0.506 0.514 0.396 0.431 0.671 0.710 0.745 0.737 0.765 0.796 0.835 0.812 0.635 0.639 0.678 0.753 0.627 0.784 0.667 0.729 0.745 0.592 0.639 0.624 0.627 0.639 0.655 0.686 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 0.851 0.847 0.851 0.831 0.796 0.875 0.831 0.745 0.847 0.800 0.863 0.800 0.875 0.761 0.690 0.776 0.816 0.824 0.820 0.722 0.788 0.843 0.855 0.863 0.863 0.851 0.839 0.851 0.863 0.851 0.824 0.765 0.820 0.816 0.816 0.776 0.749 0.702 0.847 0.824 0.827 0.827 0.812 0.808 0.820 0.816 0.796 0.824 0.827 0.780 0.816 0.796 0.761 0.651 0.776 0.800 0.820 0.776 0.776 0.808 0.800 0.745 0.694 0.757 0.769 0.761 0.725 0.757 0.773 0.757 0.761 0.784 0.816 0.835 0.765 0.631 0.694 0.753 0.627 0.663 0.796 0.655 0.690 0.804 0.608 0.624 0.639 0.635 0.643 0.667 0.725 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 0.996 0.839 0.851 0.835 0.847 0.863 0.804 0.855 0.827 0.776 0.847 0.769 0.867 0.718 0.659 0.804 0.800 0.839 0.824 0.812 0.776 0.831 0.851 0.859 0.859 0.824 0.835 0.851 0.867 0.847 0.827 0.800 0.808 0.827 0.796 0.773 0.722 0.749 0.827 0.824 0.804 0.816 0.839 0.808 0.820 0.824 0.796 0.804 0.820 0.800 0.808 0.788 0.792 0.804 0.725 0.820 0.808 0.769 0.780 0.800 0.788 0.741 0.694 0.725 0.765 0.773 0.749 0.745 0.773 0.745 0.773 0.820 0.824 0.820 0.702 0.647 0.753 0.761 0.529 0.686 0.808 0.659 0.667 0.812 0.620 0.624 0.643 0.643 0.671 0.678 0.800 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.843 0.847 0.839 0.851 0.851 0.769 0.871 0.820 0.784 0.847 0.753 0.824 0.678 0.741 0.808 0.788 0.816 0.831 0.804 0.788 0.820 0.859 0.863 0.843 0.851 0.835 0.859 0.859 0.851 0.827 0.812 0.827 0.804 0.780 0.757 0.478 0.796 0.824 0.800 0.808 0.831 0.812 0.820 0.816 0.824 0.808 0.792 0.804 0.792 0.800 0.808 0.804 0.796 0.459 0.816 0.804 0.784 0.780 0.792 0.776 0.733 0.698 0.741 0.776 0.757 0.741 0.745 0.745 0.769 0.749 0.827 0.827 0.800 0.710 0.631 0.788 0.788 0.667 0.698 0.820 0.663 0.667 0.776 0.690 0.635 0.639 0.643 0.675 0.710 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 0.953 0.843 0.843 0.839 0.851 0.784 0.855 0.831 0.855 0.816 0.851 0.769 0.659 0.749 0.820 0.788 0.769 0.820 0.784 0.816 0.812 0.843 0.859 0.851 0.863 0.831 0.863 0.843 0.851 0.816 0.808 0.820 0.804 0.784 0.561 0.510 0.816 0.820 0.831 0.824 0.816 0.808 0.824 0.816 0.816 0.824 0.792 0.820 0.827 0.800 0.820 0.800 0.800 0.647 0.776 0.800 0.788 0.765 0.784 0.769 0.733 0.694 0.737 0.749 0.757 0.729 0.757 0.765 0.761 0.800 0.796 0.859 0.788 0.702 0.702 0.820 0.780 0.675 0.714 0.796 0.659 0.659 0.729 0.722 0.624 0.647 0.651 0.678 0.729 1.000 1.000 1.000 1.000 1.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.839 0.839 0.843 0.839 0.831 0.855 0.824 0.851 0.788 0.851 0.694 0.753 0.773 0.827 0.749 0.800 0.824 0.741 0.808 0.800 0.851 0.867 0.843 0.855 0.847 0.851 0.863 0.835 0.804 0.827 0.843 0.792 0.796 0.541 0.604 0.808 0.824 0.835 0.808 0.824 0.824 0.816 0.800 0.816 0.820 0.804 0.827 0.816 0.788 0.804 0.788 0.800 0.780 0.682 0.808 0.816 0.780 0.780 0.773 0.737 0.722 0.722 0.741 0.718 0.741 0.780 0.745 0.749 0.784 0.847 0.851 0.745 0.690 0.733 0.835 0.769 0.753 0.620 0.808 0.682 0.675 0.706 0.722 0.651 0.671 0.675 0.702 0.863 1.000 1.000 1.000 1.000 1.000
